var1,var2,transform1,transform2,correlation,abs_correlation,n_samples
BPXSY1,LBXTC,sqrt,original,0.3179218209635798,0.3179218209635798,4479
RIDAGEYR,BMXBMI,sqrt,inverse,-0.3177726736863787,0.3177726736863787,4536
RIDAGEYR,BMXBMI,square,sqrt,0.3177124461018083,0.3177124461018083,4536
RIDAGEYR,BMXBMI,square,square,0.3176325008322574,0.3176325008322574,4536
BPXSY1,LBXTC,log,original,0.31721431860096927,0.31721431860096927,4479
BPXSY1,LBXTC,log,square,0.31717835683486784,0.31717835683486784,4479
BPXSY1,LBXTC,original,sqrt,0.31688951532121523,0.31688951532121523,4479
BPXSY1,LBXTC,square,sqrt,0.31678888999254456,0.31678888999254456,4479
BPXSY1,LBXTC,sqrt,sqrt,0.31654240661686966,0.31654240661686966,4479
RIDAGEYR,BMXBMI,original,inverse,-0.31626937065013966,0.31626937065013966,4536
RIDAGEYR,BMXBMI,log,inverse,-0.3161124942431332,0.3161124942431332,4536
BPXSY1,LBXTC,log,sqrt,0.3159233674452851,0.3159233674452851,4479
RIDAGEYR,BMXBMI,log,square,0.3156850642648058,0.3156850642648058,4536
RIDAGEYR,BMXBMI,square,log,0.3153142068194457,0.3153142068194457,4536
BPXSY1,LBXTC,inverse,original,-0.3149606911266663,0.3149606911266663,4479
BPXSY1,LBXTC,inverse,square,-0.31459593381551043,0.31459593381551043,4479
BPXSY1,LBXTC,original,log,0.3144822368804444,0.3144822368804444,4479
BPXSY1,LBXTC,sqrt,log,0.3142247702552157,0.3142247702552157,4479
BPXSY1,LBXTC,square,log,0.31421251408208445,0.31421251408208445,4479
BPXSY1,LBXTC,inverse,sqrt,-0.3138526501187863,0.3138526501187863,4479
BPXSY1,LBXTC,log,log,0.31369854246502876,0.31369854246502876,4479
BPXSY1,LBXTC,inverse,log,-0.311822150310638,0.311822150310638,4479
SLD012,DPQ_TOTAL,sqrt,sqrt,-0.3087981441006303,0.3087981441006303,4532
SLD012,DPQ_TOTAL,original,original,-0.30717547978750653,0.30717547978750653,4532
BPXSY1,LBXTC,original,inverse,-0.3066753563275773,0.3066753563275773,4479
BPXSY1,LBXTC,sqrt,inverse,-0.3066053972561333,0.3066053972561333,4479
RIDAGEYR,BMXBMI,inverse,log,-0.30630464910575284,0.30630464910575284,4536
BPXSY1,LBXTC,log,inverse,-0.3062758652795102,0.3062758652795102,4479
BPXSY1,LBXTC,square,inverse,-0.3060593841102119,0.3060593841102119,4479
RIDAGEYR,BMXBMI,inverse,sqrt,-0.3053941034756488,0.3053941034756488,4536
RIDAGEYR,BMXBMI,square,inverse,-0.3053318494376587,0.3053318494376587,4536
BPXSY1,LBXTC,inverse,inverse,0.3048189208940334,0.3048189208940334,4479
SLD012,PAQ_MINS,inverse,sqrt,-0.30437328963546795,0.30437328963546795,4519
SLD012,PAQ_MINS,inverse,log,-0.3042451189142255,0.3042451189142255,4519
RIDAGEYR,BMXBMI,inverse,inverse,0.3035244676717163,0.3035244676717163,4536
RIDAGEYR,BMXBMI,inverse,original,-0.3033644199302308,0.3033644199302308,4536
RIDAGEYR,BMXBMI,inverse,square,-0.29668479336805487,0.29668479336805487,4536
SLD012,DPQ_TOTAL,log,log,-0.29244614845415784,0.29244614845415784,4532
SLD012,PAQ_MINS,inverse,original,-0.27426377081531,0.27426377081531,4519
SLD012,DPQ_TOTAL,original,sqrt,-0.2739860502173346,0.2739860502173346,4532
DPQ_TOTAL,PAQ_MINS,inverse,square,0.26957210287757927,0.26957210287757927,4528
SLD012,DPQ_TOTAL,sqrt,log,-0.2654997073070078,0.2654997073070078,4532
SLD012,PAQ_MINS,log,sqrt,0.26342293113581267,0.26342293113581267,4519
SLD012,PAQ_MINS,log,log,0.2618030879802699,0.2618030879802699,4519
BPXSY1,LBXGLU,square,square,0.24961884356989936,0.24961884356989936,4492
BPXSY1,LBXGLU,original,square,0.24691937557576385,0.24691937557576385,4492
BPXSY1,LBXGLU,square,original,0.24580127673639926,0.24580127673639926,4492
DPQ_TOTAL,PAQ_MINS,inverse,original,0.245730491404175,0.245730491404175,4528
BPXSY1,LBXGLU,sqrt,square,0.24530711738910405,0.24530711738910405,4492
BPXSY1,LBXGLU,log,square,0.24352054649384983,0.24352054649384983,4492
BPXSY1,LBXGLU,original,original,0.24347351380191803,0.24347351380191803,4492
BPXSY1,LBXGLU,square,sqrt,0.24337835011284784,0.24337835011284784,4492
BPXSY1,LBXGLU,sqrt,original,0.2420505573601817,0.2420505573601817,4492
SLD012,DPQ_TOTAL,square,square,-0.24200368924505078,0.24200368924505078,4532
BPXSY1,LBXGLU,original,sqrt,0.24123689214738225,0.24123689214738225,4492
BPXSY1,LBXGLU,square,log,0.24063540080972723,0.24063540080972723,4492
BPXSY1,LBXGLU,log,original,0.24045530659968106,0.24045530659968106,4492
BPXSY1,LBXGLU,sqrt,sqrt,0.23990995536237195,0.23990995536237195,4492
SLD012,PAQ_MINS,log,original,0.2394491527995785,0.2394491527995785,4519
BPXSY1,LBXGLU,inverse,square,-0.2394298311427192,0.2394298311427192,4492
BPXSY1,LBXGLU,original,log,0.23868061388394055,0.23868061388394055,4492
BPXSY1,LBXGLU,log,sqrt,0.2384125072693656,0.2384125072693656,4492
SLD012,PAQ_MINS,sqrt,sqrt,0.23810029925028295,0.23810029925028295,4519
BPXSY1,LBXGLU,sqrt,log,0.23745062118326737,0.23745062118326737,4492
BPXSY1,LBXGLU,inverse,original,-0.2367523368256685,0.2367523368256685,4492
SLD012,PAQ_MINS,sqrt,log,0.2361304600223054,0.2361304600223054,4519
BPXSY1,LBXGLU,log,log,0.23605240262958563,0.23605240262958563,4492
SLD012,DPQ_TOTAL,original,log,-0.23589000090640116,0.23589000090640116,4532
BPXSY1,LBXGLU,inverse,sqrt,-0.23491003385444645,0.23491003385444645,4492
BPXSY1,LBXGLU,square,inverse,-0.23424624568347957,0.23424624568347957,4492
BPXSY1,LBXGLU,inverse,log,-0.23275479866188048,0.23275479866188048,4492
BPXSY1,LBXGLU,original,inverse,-0.23266636642283986,0.23266636642283986,4492
BPXSY1,LBXGLU,sqrt,inverse,-0.2316332151764058,0.2316332151764058,4492
BPXSY1,LBXGLU,log,inverse,-0.23043788102201096,0.23043788102201096,4492
BPXSY1,LBXGLU,inverse,inverse,0.22756332123085285,0.22756332123085285,4492
SLD012,DPQ_TOTAL,square,original,-0.22501149291156877,0.22501149291156877,4532
SLD012,PAQ_MINS,sqrt,original,0.21721179098017934,0.21721179098017934,4519
SLD012,PAQ_MINS,inverse,square,-0.21550287443995414,0.21550287443995414,4519
SLD012,PAQ_MINS,original,sqrt,0.2108042366059517,0.2108042366059517,4519
BMXBMI,LBXTC,sqrt,original,0.20898899996340767,0.20898899996340767,4510
BMXBMI,LBXTC,sqrt,sqrt,0.20897590357729198,0.20897590357729198,4510
DPQ_TOTAL,PAQ_MINS,inverse,sqrt,0.20889846882361357,0.20889846882361357,4528
BMXBMI,LBXTC,original,original,0.20883821148715187,0.20883821148715187,4510
SLD012,PAQ_MINS,original,log,0.20871368968166362,0.20871368968166362,4519
BMXBMI,LBXTC,original,sqrt,0.20870913770483354,0.20870913770483354,4510
BMXBMI,LBXTC,log,sqrt,0.20838449437601322,0.20838449437601322,4510
BMXBMI,LBXTC,sqrt,log,0.2083634565419382,0.2083634565419382,4510
BMXBMI,LBXTC,log,original,0.20827552902692484,0.20827552902692484,4510
BMXBMI,LBXTC,original,log,0.20797428173869592,0.20797428173869592,4510
BMXBMI,LBXTC,log,log,0.20790358289661107,0.20790358289661107,4510
BMXBMI,LBXTC,original,square,0.2073930056262628,0.2073930056262628,4510
BMXBMI,LBXTC,sqrt,square,0.20732918849328918,0.20732918849328918,4510
BMXBMI,LBXTC,square,original,0.2064504918471452,0.2064504918471452,4510
BMXBMI,LBXTC,log,square,0.20639700264995395,0.20639700264995395,4510
BMXBMI,LBXTC,square,sqrt,0.2061113366116906,0.2061113366116906,4510
BMXBMI,LBXTC,square,square,0.20541141288288306,0.20541141288288306,4510
BMXBMI,LBXTC,sqrt,inverse,-0.20524481552531684,0.20524481552531684,4510
BMXBMI,LBXTC,square,log,0.20516136061108162,0.20516136061108162,4510
BMXBMI,LBXTC,log,inverse,-0.20508062343839428,0.20508062343839428,4510
BMXBMI,LBXVIDMS,sqrt,original,-0.2046176326536865,0.2046176326536865,4524
BMXBMI,LBXTC,original,inverse,-0.20458864582947525,0.20458864582947525,4510
BMXBMI,LBXVIDMS,log,original,-0.20428253961923531,0.20428253961923531,4524
BMXBMI,LBXVIDMS,original,original,-0.20401804607727642,0.20401804607727642,4524
BMXBMI,LBXVIDMS,sqrt,square,-0.203902242699753,0.203902242699753,4524
BMXBMI,LBXTC,inverse,sqrt,-0.20380296796161282,0.20380296796161282,4510
BMXBMI,LBXVIDMS,log,square,-0.20377709408716224,0.20377709408716224,4524
BMXBMI,LBXTC,inverse,log,-0.2036063743915744,0.2036063743915744,4510
BMXBMI,LBXTC,inverse,original,-0.2034394788236985,0.2034394788236985,4510
BMXBMI,LBXVIDMS,original,square,-0.20305919965490923,0.20305919965490923,4524
BMXBMI,LBXVIDMS,sqrt,sqrt,-0.20148956330656861,0.20148956330656861,4524
BMXBMI,LBXTC,inverse,inverse,0.2014540382448407,0.2014540382448407,4510
BMXBMI,LBXTC,square,inverse,-0.20132804932598675,0.20132804932598675,4510
BMXBMI,LBXTC,inverse,square,-0.20113175811034015,0.20113175811034015,4510
BMXBMI,LBXVIDMS,log,sqrt,-0.20105286636715608,0.20105286636715608,4524
BMXBMI,LBXVIDMS,original,sqrt,-0.2010265898481667,0.2010265898481667,4524
BMXBMI,LBXVIDMS,square,original,-0.20067938669234484,0.20067938669234484,4524
SLD012,DPQ_TOTAL,square,sqrt,-0.2005550351338166,0.2005550351338166,4532
BMXBMI,LBXVIDMS,inverse,original,0.19976585430309546,0.19976585430309546,4524
BMXBMI,LBXVIDMS,inverse,square,0.19954255479793315,0.19954255479793315,4524
BMXBMI,LBXVIDMS,square,square,-0.19916264401157294,0.19916264401157294,4524
BMXBMI,LBXVIDMS,square,sqrt,-0.19803997702711312,0.19803997702711312,4524
BMXBMI,LBXVIDMS,inverse,sqrt,0.19647411162155923,0.19647411162155923,4524
BMXBMI,LBXVIDMS,sqrt,log,-0.19588452555570268,0.19588452555570268,4524
BMXBMI,LBXVIDMS,original,log,-0.1955605015375771,0.1955605015375771,4524
BMXBMI,LBXVIDMS,log,log,-0.19535469619128262,0.19535469619128262,4524
BMXBMI,LBXVIDMS,square,log,-0.1929561908921292,0.1929561908921292,4524
SLD012,PAQ_MINS,original,original,0.19291995497285186,0.19291995497285186,4519
BMXBMI,LBXVIDMS,inverse,log,0.19077433162515237,0.19077433162515237,4524
SLD012,PAQ_MINS,log,square,0.19009618168320308,0.19009618168320308,4519
RIDAGEYR,ALQ120Q,sqrt,original,0.1824562250677636,0.1824562250677636,4517
RIDAGEYR,ALQ120Q,log,original,0.18181176942945257,0.18181176942945257,4517
RIDAGEYR,ALQ120Q,original,original,0.18145123471845373,0.18145123471845373,4517
BMXBMI,LBXVIDMS,sqrt,inverse,0.17877765104257795,0.17877765104257795,4524
BMXBMI,LBXVIDMS,original,inverse,0.1787065519394487,0.1787065519394487,4524
RIDAGEYR,ALQ120Q,sqrt,log,0.17842010215238796,0.17842010215238796,4517
BMXBMI,LBXVIDMS,log,inverse,0.17810567117243134,0.17810567117243134,4524
RIDAGEYR,ALQ120Q,original,log,0.17768226207082935,0.17768226207082935,4517
RIDAGEYR,ALQ120Q,log,log,0.17758908978307084,0.17758908978307084,4517
BMXBMI,LBXVIDMS,square,inverse,0.17686218821756797,0.17686218821756797,4524
RIDAGEYR,ALQ120Q,log,sqrt,0.17618627513575735,0.17618627513575735,4517
RIDAGEYR,ALQ120Q,sqrt,sqrt,0.1761201717962497,0.1761201717962497,4517
RIDAGEYR,ALQ120Q,inverse,original,-0.17571010752790836,0.17571010752790836,4517
RIDAGEYR,ALQ120Q,square,original,0.17528879601865263,0.17528879601865263,4517
RIDAGEYR,ALQ120Q,original,sqrt,0.174532950258547,0.174532950258547,4517
BMXBMI,LBXVIDMS,inverse,inverse,-0.17368955703740738,0.17368955703740738,4524
SLD012,PAQ_MINS,sqrt,square,0.17319441300226618,0.17319441300226618,4519
SLD012,DPQ_TOTAL,square,log,-0.17261205552564818,0.17261205552564818,4532
RIDAGEYR,ALQ120Q,square,log,0.1722288723138816,0.1722288723138816,4517
RIDAGEYR,ALQ120Q,inverse,sqrt,-0.17174348366152437,0.17174348366152437,4517
RIDAGEYR,ALQ120Q,inverse,log,-0.171371427152363,0.171371427152363,4517
RIDAGEYR,LBXGLU,square,square,0.16771772123498763,0.16771772123498763,4512
RIDAGEYR,ALQ120Q,square,sqrt,0.167645817385353,0.167645817385353,4517
RIDAGEYR,LBXGLU,original,square,0.16675207182490792,0.16675207182490792,4512
DPQ_TOTAL,PAQ_MINS,inverse,log,0.1646003333968512,0.1646003333968512,4528
RIDAGEYR,LBXGLU,square,original,0.16434919753485117,0.16434919753485117,4512
RIDAGEYR,LBXGLU,sqrt,square,0.16411160484547793,0.16411160484547793,4512
RIDAGEYR,LBXGLU,original,original,0.16352096161824575,0.16352096161824575,4512
RIDAGEYR,LBXGLU,square,sqrt,0.16218055587140204,0.16218055587140204,4512
RIDAGEYR,LBXGLU,original,sqrt,0.1614194159944059,0.1614194159944059,4512
RIDAGEYR,ALQ120Q,sqrt,square,0.16121529003252166,0.16121529003252166,4517
RIDAGEYR,LBXGLU,sqrt,original,0.16102117825973106,0.16102117825973106,4512
RIDAGEYR,ALQ120Q,original,square,0.16064014467083387,0.16064014467083387,4517
RIDAGEYR,ALQ120Q,log,square,0.16022415070488885,0.16022415070488885,4517
RIDAGEYR,LBXGLU,log,square,0.1599412481798618,0.1599412481798618,4512
RIDAGEYR,LBXGLU,square,log,0.15971645150892103,0.15971645150892103,4512
RIDAGEYR,LBXGLU,original,log,0.15901953519960565,0.15901953519960565,4512
RIDAGEYR,LBXGLU,sqrt,sqrt,0.1589942161615529,0.1589942161615529,4512
RIDAGEYR,LBXGLU,log,original,0.15703608228990046,0.15703608228990046,4512
RIDAGEYR,LBXGLU,sqrt,log,0.1566703698793468,0.1566703698793468,4512
RIDAGEYR,ALQ120Q,square,square,0.15546819512047,0.15546819512047,4517
RIDAGEYR,LBXGLU,log,sqrt,0.1551097334684254,0.1551097334684254,4512
SLD012,PAQ_MINS,original,square,0.15442638608395304,0.15442638608395304,4519
RIDAGEYR,LBXGLU,square,inverse,-0.15397532879375603,0.15397532879375603,4512
RIDAGEYR,ALQ120Q,inverse,square,-0.15377117401217696,0.15377117401217696,4517
SLD012,PAQ_MINS,square,sqrt,0.15354855892252106,0.15354855892252106,4519
RIDAGEYR,LBXGLU,original,inverse,-0.153393408991803,0.153393408991803,4512
RIDAGEYR,LBXGLU,log,log,0.15289017567607635,0.15289017567607635,4512
SLD012,PAQ_MINS,square,log,0.15172878498259904,0.15172878498259904,4519
RIDAGEYR,LBXGLU,sqrt,inverse,-0.15119696790420845,0.15119696790420845,4512
RIDAGEYR,LBXGLU,inverse,square,-0.14767386242387506,0.14767386242387506,4512
RIDAGEYR,LBXGLU,log,inverse,-0.1476319526929384,0.1476319526929384,4512
RIDAGEYR,LBXGLU,inverse,original,-0.14523281027608825,0.14523281027608825,4512
RIDAGEYR,LBXGLU,inverse,sqrt,-0.14356466646988222,0.14356466646988222,4512
RIDAGEYR,LBXGLU,inverse,log,-0.14161697650920482,0.14161697650920482,4512
SLD012,PAQ_MINS,square,original,0.14129516069895684,0.14129516069895684,4519
